Português (Brasil);English;Español
Parâmetros;Parameters;Parámetros
PARÂMETROS;PARAMETERS;PARÁMETROS
PC-M;PC-M;PC-M
PC-R;PC-R;PC-R
Perfil de Navegação;Navigation Profile;Perfil de Navegación
Piso01;Floor01;Piso01
Por favor entre com um valor dentro do intervalo permitido:;Please enter a value within the allowed range:;Por favor introduzca un valor dentro del intervalo permitido:
Posição da Toolbar:;Toolbar position:;Posición de la barra de herramientas:
Posição:;Position:;Posición:
Predial;Building;Edificios
Pressão;Pressure;Presión
Pré-visualização;Preview;Preestreno 
Processo;Process;Proceso
Processos;Processes;Procesos
Programado:;Programmed:;Programado:
Propriedades;Properties;Propiedades
PROPRIEDADES;PROPERTIES;PROPIEDADES
Qualidade da Água;Water Quality;Calidad del Agua
RadarChart 10;RadarChart 10;RadarChart 10
RadarChart 9;RadarChart 9;RadarChart 9
Recepção;Reception;Recepción
Reconhecer filtro atual;Ack current filter;Reconocer filtro actual
Reconhecer selecionados;Ack selected;Reconocer seleccionador
Reconhecer todos;Ack all;Reconocer todos
Refeitório;Refectory;Refectorio
Remoto;Remote;Remoto
Remover;Remove;Eliminar
Renomear;Rename;Renombrar
Renomear Perfil;Rename Profile;Cambiar nombre de perfil
Renomear Template;Rename Template;Cambiar nombre de Template
Representação dentro do tema;Representation within the theme;Representación dentro del tema
Representação fora do tema;Representation out of the theme;Representación fuera de tema
Reservação;Reservation;Reserva
Reservatório Elevado;High Reservoir;Depósito Elevado
Rosa dos Ventos;Wind Rose;Rosa de los Vientos
ROTEADOR;ROUTER;ROUTER
Rótulos;Labels;Etiquetas
RTU;RTU;RTU
Sair do Assistente;Exit the Assistant;Salir del Asistente
Sala;Room;Sala
Sala 11;Room 11;Sala 11
Sala 12;Room 12;Sala 12
Sala de Reuniões;MeetingRoom;Sala de Reuniones
Sala de reuniões;Meeting room;Sala de reuniones
Sala de Treinamento;TrainingRoom;Sala de Entrenamiento
Sala de treinamento;Training room;Sala de entrenamiento
Sala11;Room11;Sala11
Sala12;Room12;Sala12
Salvar;Save;Salvar
Salvar como novo;Save as new;Guardar como nuevo
Saneamento;Sanitation;Saneamiento
Seleção múltipla;Multiple selection;Selección múltiple
Seleção simples;Single selection;Selección simple
Seleção:;Selection:;Selección:
SelectedNodeReady (Somente leitura);SelectedNodeReady (Read only);SelectedNodeReady (Solo lectura)
Seletor de Matriz de Monitor ;Monitor Matrix Selector;Selector de matriz de monitor
Sem data final;No end date;Sin fecha final
semana na;week in the;semana en la 
Semanalmente;Weekly;Semanal
Sempre;Every;Siempre
Setas;Arrows;Flechas
Severidade;Severity;Severidad
Severidade alta;High severity;Alta severidad
Severidade Alta;High Severity;Alta Severidad
Severidade baixa;Low severity;Baja severidad
Severidade Baixa;Low Severity;Baja Severidad
Severidade crítica;Critical severity;Severidad crítica
Severidade Crítica;Critical Severity;Severidad Crítica
Severidade média;Medium severity;Media severidad
Severidade Média;Medium Severity;Media Severidad
Shelved;Shelved;Shelved
Silenciar buzina;Mute horn;Cuerno mudo
Simular alarme;Simulate alarm;Simular alarma
Simular todos os alarmes;Simulate all alarms;Simula todas las alarmas
Simular valores;Simulate values;Simular valores
Sistema de gestão Predial ;Land Management System ;Sistema de Gestión Predial 
Subcondição;Subcondition;Subcondición
Suprimidos;Suppressed;Suprimidos
SWITCH;SWITCH;SWITCH
Tanque de Contato;Contact Tank;Tanque de Contacto
Tanque de Decantação;Decanting Tank;Tanque de Decantación
Tanque de Floculação;Flocculation Tank;Tanque de Floculación
Taxa de Variação;Rate of Change;Tasa de Variación
Tela atual;Current screen;Pantalla actual
Telas abertas por quadro;Screens opened per frame;Pantallas abiertas por cuadro
Temas;Themes;Temas
Temperatura;Temperature;Temperatura
Template;Template;Template
Template de inicialização;Startup Template;Template de inicio
Tempo de Operação;Operation Time;Tiempo de Operacion
Termina depois;Ends after;Termina después
Termina em;Ends at;Se termina em
TI;IT;TI
Tipo;Type;Tipo
Tipos de cores;Color types;Tipos de color
Tipos de Dados e Documentos;Data Types and Documents;Tipos de Datos y Documentos
Título:;Title:;Título:
Todas abas desabilitadas;Disable all tabs;Deshabilitar pestañas
Todas abas habilitadas;Enable all tabs;Habilitar pestañas
Todos dias da semana;Every day of the week;Cada día de la semana
Tradução;Translation;Traducción
Tratamento de Água;Water Treatment;Tratamiento de Agua
Treeview;Treeview;Treeview
Treeview - Parâmetros;Treeview - Parameters;Treeview - Parámetros
Três ou mais tensões;Three or more voltages;Tres o más voltajes
Troca de senha;Change password;Cambia la contraseña
Troca dinâmica de estrutura;Structure dynamic change;Estructura de cambio dinámico
Umidade relativa;Relative humidity;Humedad relativa
Unidade à direita;Unit at right;Unidad a la derecha
Unidade à esquerda;Unit at bottom;Unidad en la parte inferior
Unifilar;Unifilar;Unifilar
Unifilar 1;Unifilar 1;Unifilar 1
UNIFILAR 1;UNIFILAR 1;UNIFILAR 1
Unifilar 2;Unifilar 2;Unifilar 2
UNIFILAR 2;UNIFILAR 2;UNIFILAR 2
Unifilar1;Unifilar1;Unifilar1
Unifilar2;Unifilar2;Unifilar2
Uso de cores - 1ª abordagem;Use of colors - 1st approach;Uso de colores: 1º enfoque
Uso de cores - 2ª abordagem;Use of colors - 2nd approach;Uso de colores: 2º enfoque
Uso de cores - 3ª abordagem;Use of colors - 3rd approach;Uso de colores: 3º enfoque
Valor Dinâmico;Dynamic Value;Valor Dinámico
Valor Manual;Manual Value;Valor Manual
Valor numérico;Numeric value;Valor numérico
Valores automáticos;Automatic values;Valores automáticos
Valores personalizados;Custom values;Valores personalizados
Vamos lá!;Let's go!;¡Vamonos!
Variar a espessura da linha.;Vary the line thickness.;Varíe el grosor de la línea.
Variar cores da linha, deixando-as fixas (independentes do tema).;Vary colors of the line, leaving them fixed (independent of the theme).;Varíe los colores de la línea, dejándolos fijos (independientemente del tema).
Vertical;Vertical;Vertical
VIDEO WALL;VIDEO WALL;VIDEO WALL
Visão múltipla;Multiple view;Vista múltiple
Visão unificada;Unified view;Vista unificada
Visualmente é menos cansativo.;Visually it is less tiring.;Visualmente es menos agotador.
Zona 1;Zone 1;Zona 1
Zona 2;Zone 2;Zona 2
Zona 3;Zone 3;Zona 3
Zona de Alarmes Horizontal;Alarm Zone Horizontal;Zona de Alarma Horizontal
Zona de Alarmes Vertical;Alarm Zone Vertical;Zona de Alarma Vertical
Zonas de Alarmes;Alarm Zones;Zonas de Alarma
